year,region,species,population
2003,Addis Ababa,Males < 4 years,0
2004,Addis Ababa,Males < 4 years,0
2005,Addis Ababa,Males < 4 years,0
2006,Addis Ababa,Males < 4 years,0
2007,Addis Ababa,Males < 4 years,0
2008,Addis Ababa,Males < 4 years,0
2009,Addis Ababa,Males < 4 years,0
2010,Addis Ababa,Males < 4 years,0
2011,Addis Ababa,Males < 4 years,0
2012,Addis Ababa,Males < 4 years,0
2013,Addis Ababa,Males < 4 years,0
2014,Addis Ababa,Males < 4 years,0
2015,Addis Ababa,Males < 4 years,0
2016,Addis Ababa,Males < 4 years,0
2017,Addis Ababa,Males < 4 years,0
2018,Addis Ababa,Males < 4 years,0
2019,Addis Ababa,Males < 4 years,0
2020,Addis Ababa,Males < 4 years,0
2003,Afar,Males < 4 years,9304
2004,Afar,Males < 4 years,8978
2005,Afar,Males < 4 years,10533
2006,Afar,Males < 4 years,12179
2007,Afar,Males < 4 years,16405
2008,Afar,Males < 4 years,13764
2009,Afar,Males < 4 years,17996
2010,Afar,Males < 4 years,30731
2011,Afar,Males < 4 years,26941
2012,Afar,Males < 4 years,22900
2013,Afar,Males < 4 years,37316
2014,Afar,Males < 4 years,44549
2015,Afar,Males < 4 years,38562
2016,Afar,Males < 4 years,43377
2017,Afar,Males < 4 years,73260
2018,Afar,Males < 4 years,128010
2019,Afar,Males < 4 years,124436
2020,Afar,Males < 4 years,142906
2003,Amhara,Males < 4 years,1960
2004,Amhara,Males < 4 years,3485
2005,Amhara,Males < 4 years,3760
2006,Amhara,Males < 4 years,6975
2007,Amhara,Males < 4 years,12023
2008,Amhara,Males < 4 years,2994
2009,Amhara,Males < 4 years,6549
2010,Amhara,Males < 4 years,5984
2011,Amhara,Males < 4 years,6909
2012,Amhara,Males < 4 years,8027
2013,Amhara,Males < 4 years,4725
2014,Amhara,Males < 4 years,4591
2015,Amhara,Males < 4 years,6541
2016,Amhara,Males < 4 years,0
2017,Amhara,Males < 4 years,0
2018,Amhara,Males < 4 years,0
2019,Amhara,Males < 4 years,0
2020,Amhara,Males < 4 years,5853
2003,Benishangul Gumz,Males < 4 years,0
2004,Benishangul Gumz,Males < 4 years,0
2005,Benishangul Gumz,Males < 4 years,0
2006,Benishangul Gumz,Males < 4 years,0
2007,Benishangul Gumz,Males < 4 years,0
2008,Benishangul Gumz,Males < 4 years,0
2009,Benishangul Gumz,Males < 4 years,0
2010,Benishangul Gumz,Males < 4 years,0
2011,Benishangul Gumz,Males < 4 years,0
2012,Benishangul Gumz,Males < 4 years,0
2013,Benishangul Gumz,Males < 4 years,0
2014,Benishangul Gumz,Males < 4 years,0
2015,Benishangul Gumz,Males < 4 years,0
2016,Benishangul Gumz,Males < 4 years,0
2017,Benishangul Gumz,Males < 4 years,0
2018,Benishangul Gumz,Males < 4 years,0
2019,Benishangul Gumz,Males < 4 years,0
2020,Benishangul Gumz,Males < 4 years,0
2003,Dire Dawa,Males < 4 years,1176
2004,Dire Dawa,Males < 4 years,816
2005,Dire Dawa,Males < 4 years,1322
2006,Dire Dawa,Males < 4 years,1292
2007,Dire Dawa,Males < 4 years,760
2008,Dire Dawa,Males < 4 years,887
2009,Dire Dawa,Males < 4 years,1211
2010,Dire Dawa,Males < 4 years,887
2011,Dire Dawa,Males < 4 years,1373
2012,Dire Dawa,Males < 4 years,699
2013,Dire Dawa,Males < 4 years,1286
2014,Dire Dawa,Males < 4 years,1056
2015,Dire Dawa,Males < 4 years,923
2016,Dire Dawa,Males < 4 years,1047
2017,Dire Dawa,Males < 4 years,1183
2018,Dire Dawa,Males < 4 years,1066
2019,Dire Dawa,Males < 4 years,2037
2020,Dire Dawa,Males < 4 years,1926
2003,Gambela,Males < 4 years,0
2004,Gambela,Males < 4 years,0
2005,Gambela,Males < 4 years,0
2006,Gambela,Males < 4 years,0
2007,Gambela,Males < 4 years,0
2008,Gambela,Males < 4 years,0
2009,Gambela,Males < 4 years,0
2010,Gambela,Males < 4 years,0
2011,Gambela,Males < 4 years,0
2012,Gambela,Males < 4 years,0
2013,Gambela,Males < 4 years,0
2014,Gambela,Males < 4 years,0
2015,Gambela,Males < 4 years,0
2016,Gambela,Males < 4 years,0
2017,Gambela,Males < 4 years,0
2018,Gambela,Males < 4 years,0
2019,Gambela,Males < 4 years,0
2020,Gambela,Males < 4 years,0
2003,Harari,Males < 4 years,0
2004,Harari,Males < 4 years,0
2005,Harari,Males < 4 years,0
2006,Harari,Males < 4 years,0
2007,Harari,Males < 4 years,0
2008,Harari,Males < 4 years,0
2009,Harari,Males < 4 years,0
2010,Harari,Males < 4 years,0
2011,Harari,Males < 4 years,0
2012,Harari,Males < 4 years,0
2013,Harari,Males < 4 years,0
2014,Harari,Males < 4 years,841
2015,Harari,Males < 4 years,0
2016,Harari,Males < 4 years,0
2017,Harari,Males < 4 years,0
2018,Harari,Males < 4 years,0
2019,Harari,Males < 4 years,0
2020,Harari,Males < 4 years,0
2003,Oromoa,Males < 4 years,20636
2004,Oromoa,Males < 4 years,23918
2005,Oromoa,Males < 4 years,21233
2006,Oromoa,Males < 4 years,19479
2007,Oromoa,Males < 4 years,63137
2008,Oromoa,Males < 4 years,30936
2009,Oromoa,Males < 4 years,33183
2010,Oromoa,Males < 4 years,45241
2011,Oromoa,Males < 4 years,53217
2012,Oromoa,Males < 4 years,41369
2013,Oromoa,Males < 4 years,51102
2014,Oromoa,Males < 4 years,42291
2015,Oromoa,Males < 4 years,49032
2016,Oromoa,Males < 4 years,42604
2017,Oromoa,Males < 4 years,29507
2018,Oromoa,Males < 4 years,38633
2019,Oromoa,Males < 4 years,46218
2020,Oromoa,Males < 4 years,45453
2003,SNNPR,Males < 4 years,0
2004,SNNPR,Males < 4 years,0
2005,SNNPR,Males < 4 years,0
